key,dtype,size,value,4-sample-spread,class
F0Ac,flt ,4,0.0,,
F0CR,ui16,2,150,,
F0Dc,flt ,4,0.0,,
F0Fb,ui8 ,1,9,,
F0Fc,ui16,2,1536,,
F0Md,ui8 ,1,3,,
F0Mn,flt ,4,1350.0,,
F0Mx,flt ,4,5777.0,,
F0Sf,ui16,2,0,,
F0St,ui8 ,1,3,,
F0Tg,flt ,4,0.0,,
F1Ac,flt ,4,0.0,,
F1CR,ui16,2,150,,
F1Dc,flt ,4,0.0,,
F1Fb,ui8 ,1,9,,
F1Fc,ui16,2,1536,,
F1Md,ui8 ,1,3,,
F1Mn,flt ,4,1350.0,,
F1Mx,flt ,4,5777.0,,
F1Sf,ui16,2,0,,
F1St,ui8 ,1,3,,
F1Tg,flt ,4,0.0,,
FBAC,hex_,1,,,
FBAD,hex_,1,,,
FNum,ui8 ,1,2,,
FOFC,ui32,4,,,
FOff,ui8 ,1,1,,
Fpds,ui8 ,1,0,,
Frqd,hex_,1,,,
Ftst,ui8 ,1,0,,
TAOL,flt ,4,26.5546875,0.01,frozen
TB0T,flt ,4,29.199996948242188,0.0,frozen
TB1T,flt ,4,29.199996948242188,0.0,frozen
TB2T,flt ,4,29.099990844726562,0.0,frozen
TCDX,flt ,4,49.50468826293945,2.0,responsive
TCHP,flt ,4,39.729736328125,0.45,responsive
TCMb,flt ,4,57.75747299194336,0.66,responsive
TCMz,flt ,4,72.296875,0.92,responsive
TD00,flt ,4,26.98349380493164,0.0,frozen
TD01,flt ,4,26.64167022705078,0.0,frozen
TD02,flt ,4,26.333879470825195,0.0,frozen
TD03,flt ,4,26.042787551879883,0.0,frozen
TD04,flt ,4,26.038352966308594,0.0,frozen
TD10,flt ,4,26.554651260375977,0.0,frozen
TD11,flt ,4,27.8441104888916,0.0,frozen
TD12,flt ,4,26.89377212524414,0.01,frozen
TD13,flt ,4,27.758342742919922,0.01,frozen
TD14,flt ,4,26.304826736450195,0.0,frozen
TD20,flt ,4,27.660812377929688,0.0,frozen
TD21,flt ,4,29.78754997253418,0.02,frozen
TD22,flt ,4,28.486154556274414,0.03,frozen
TD23,flt ,4,30.167985916137695,0.01,frozen
TD24,flt ,4,27.509384155273438,0.0,frozen
TDBP,flt ,4,29.0625,0.0,frozen
TDCR,flt ,4,30.5625,0.19,responsive
TDEC,flt ,4,30.0625,0.06,responsive
TDEL,flt ,4,29.125,0.25,responsive
TDER,flt ,4,29.4375,0.25,responsive
TDTP,flt ,4,31.3125,0.12,responsive
TDVx,flt ,4,30.167985916137695,0.01,frozen
TDeL,flt ,4,28.875,0.12,responsive
TDeR,flt ,4,28.75,0.06,responsive
TG0B,ioft,8,,,
TG0C,ioft,8,,,
TG0H,ioft,8,,,
TG0V,ioft,8,,,
TG1B,ioft,8,,,
TG2B,ioft,8,,,
TH0a,flt ,4,30.32421875,0.11,responsive
TH0b,flt ,4,30.32421875,0.11,responsive
TH0x,flt ,4,30.32421875,0.11,responsive
TH1a,flt ,4,0.0,,
TH1b,flt ,4,0.0,,
TMVR,flt ,4,38.171173095703125,0.26,responsive
TPD0,flt ,4,44.69476318359375,0.43,responsive
TPD1,flt ,4,45.1239013671875,0.11,responsive
TPD2,flt ,4,44.58747863769531,0.54,responsive
TPD3,flt ,4,45.338470458984375,0.43,responsive
TPD4,flt ,4,44.69476318359375,0.54,responsive
TPD5,flt ,4,44.69476318359375,0.75,responsive
TPD6,flt ,4,44.58747863769531,0.43,responsive
TPD7,flt ,4,44.909332275390625,1.39,responsive
TPD8,flt ,4,45.01661682128906,0.54,responsive
TPD9,flt ,4,44.69476318359375,0.75,responsive
TPDX,flt ,4,45.87489318847656,0.75,responsive
TPDa,flt ,4,45.338470458984375,0.32,responsive
TPDb,flt ,4,44.265625,0.43,responsive
TPDc,flt ,4,45.767608642578125,0.97,responsive
TPDd,flt ,4,45.87489318847656,0.54,responsive
TPDe,flt ,4,45.87489318847656,0.64,responsive
TPDf,flt ,4,44.58747863769531,0.54,responsive
TPMP,flt ,4,39.630645751953125,0.51,responsive
TPSP,flt ,4,40.59783935546875,0.67,responsive
TR0Z,ioft,8,,,
TR1d,ioft,8,,,
TR2d,ioft,8,,,
TRD0,flt ,4,47.37687683105469,0.64,responsive
TRD1,flt ,4,47.37687683105469,0.54,responsive
TRD2,flt ,4,47.69873046875,0.43,responsive
TRD3,flt ,4,47.59144592285156,0.43,responsive
TRD4,flt ,4,47.913299560546875,0.64,responsive
TRD5,flt ,4,47.26959228515625,0.64,responsive
TRD6,flt ,4,47.37687683105469,0.75,responsive
TRD7,flt ,4,47.37687683105469,0.54,responsive
TRD8,flt ,4,47.913299560546875,0.54,responsive
TRD9,flt ,4,47.913299560546875,0.54,responsive
TRDX,flt ,4,48.02058410644531,0.75,responsive
TRDa,flt ,4,46.8404541015625,0.86,responsive
TRDb,flt ,4,46.8404541015625,0.86,responsive
TRDc,flt ,4,48.02058410644531,0.54,responsive
TRDd,flt ,4,48.02058410644531,0.86,responsive
TRDe,flt ,4,47.484161376953125,0.54,responsive
TRDf,flt ,4,47.055023193359375,0.75,responsive
TS0P,flt ,4,43.423919677734375,0.47,responsive
TSVR,flt ,4,41.27174377441406,0.82,responsive
TSWR,flt ,4,40.32066345214844,0.67,responsive
TSXR,flt ,4,39.71171569824219,0.57,responsive
TVA0,flt ,4,21.5562686920166,0.0,frozen
TVD0,flt ,4,53.552982330322266,4.87,responsive
TVDi,si32,4,,,
TVMD,flt ,4,2.0,0.0,frozen
TVMR,flt ,4,50.09217071533203,1.18,responsive
TVMX,flt ,4,56.0,0.0,frozen
TVMi,si32,4,,,
TVMr,flt ,4,50.192909240722656,0.6,responsive
TVMx,flt ,4,56.0,0.0,frozen
TVS0,flt ,4,34.258426666259766,0.04,frozen
TVS1,flt ,4,33.391353607177734,0.04,frozen
TVS2,flt ,4,33.65230941772461,0.05,responsive
TVV0,flt ,4,48.071876525878906,3.43,responsive
TVVi,si32,4,,,
TVXX,flt ,4,51.37155532836914,0.91,responsive
TVXh,flt ,4,51.37155532836914,0.91,responsive
TVXm,flt ,4,46.99411392211914,0.4,responsive
TVXs,flt ,4,0.0,,
TVh0,flt ,4,51.57548522949219,0.82,responsive
TVh1,flt ,4,47.879817962646484,1.6,responsive
TVh2,flt ,4,51.24946212768555,1.1,responsive
TVh3,flt ,4,51.37155532836914,0.91,responsive
TVm0,flt ,4,45.71550369262695,0.56,responsive
TVm1,flt ,4,46.64881134033203,0.56,responsive
TVm2,flt ,4,46.99411392211914,0.4,responsive
TVm3,flt ,4,46.99411392211914,0.4,responsive
TVmS,flt ,4,56.0,0.0,frozen
TVmd,flt ,4,1.0,0.0,frozen
TVms,flt ,4,56.0,0.0,frozen
TVxx,flt ,4,56.0,0.0,frozen
TW0P,flt ,4,40.59783935546875,0.62,responsive
Ta00,flt ,4,0.0,,
Ta01,flt ,4,8.600000381469727,0.0,frozen
Ta04,flt ,4,0.0,,
Ta05,flt ,4,8.600000381469727,0.0,frozen
Ta08,flt ,4,0.0,,
Ta09,flt ,4,8.600000381469727,0.0,frozen
Ta0K,flt ,4,0.0,,
Ta0L,flt ,4,8.600000381469727,0.0,frozen
Ta0O,flt ,4,0.0,,
Ta0P,flt ,4,8.600000381469727,0.0,frozen
Ta0R,flt ,4,0.0,,
Ta0S,flt ,4,8.600000381469727,0.0,frozen
TaLP,flt ,4,39.220733642578125,0.43,responsive
TaLT,flt ,4,31.744537353515625,0.05,responsive
TaLW,flt ,4,32.1094970703125,0.08,responsive
TaRF,flt ,4,39.581085205078125,0.39,responsive
TaRT,flt ,4,30.956207275390625,0.03,frozen
TaRW,flt ,4,32.32118225097656,0.08,responsive
TaTP,flt ,4,43.559783935546875,0.77,responsive
Te04,flt ,4,47.190467834472656,0.61,responsive
Te05,flt ,4,52.9904670715332,0.61,responsive
Te06,flt ,4,56.34375,1.39,responsive
Te0R,flt ,4,46.788516998291016,0.73,responsive
Te0S,flt ,4,52.38851547241211,0.73,responsive
Te0T,flt ,4,54.984375,1.17,responsive
Tex0,flt ,4,51.48871994018555,0.56,responsive
Tex1,flt ,4,56.34375,1.39,responsive
Tex2,flt ,4,50.78678512573242,0.74,responsive
Tex3,flt ,4,54.984375,1.17,responsive
Tf04,flt ,4,48.071876525878906,1.39,responsive
Tf06,flt ,4,97.34375,0.0,frozen
Tf08,flt ,4,46.27031326293945,0.48,responsive
Tf09,flt ,4,46.92656326293945,0.66,responsive
Tf0A,flt ,4,47.32343673706055,0.77,responsive
Tf0B,flt ,4,47.978126525878906,1.68,responsive
Tf14,flt ,4,48.0390625,0.71,responsive
Tf16,flt ,4,115.265625,0.0,frozen
Tf18,flt ,4,47.23906326293945,0.77,responsive
Tf19,flt ,4,47.97968673706055,0.85,responsive
Tf1A,flt ,4,47.525001525878906,0.46,responsive
Tf1B,flt ,4,47.58124923706055,0.8,responsive
Tf24,flt ,4,47.73125076293945,1.14,responsive
Tf26,flt ,4,116.125,0.0,frozen
Tf28,flt ,4,47.321876525878906,1.17,responsive
Tf29,flt ,4,47.610939025878906,1.25,responsive
Tf2A,flt ,4,47.068748474121094,1.23,responsive
Tf2B,flt ,4,46.95624923706055,1.65,responsive
Tf34,flt ,4,48.400001525878906,1.11,responsive
Tf36,flt ,4,104.171875,0.0,frozen
Tf38,flt ,4,46.7265625,0.71,responsive
Tf39,flt ,4,47.493751525878906,0.91,responsive
Tf3A,flt ,4,47.670310974121094,0.93,responsive
Tf3B,flt ,4,48.20624923706055,1.23,responsive
Tf44,flt ,4,47.889060974121094,3.62,responsive
Tf46,flt ,4,107.3125,0.0,frozen
Tf48,flt ,4,46.58281326293945,2.25,responsive
Tf49,flt ,4,46.671875,2.3,responsive
Tf4A,flt ,4,47.412498474121094,4.01,responsive
Tf4B,flt ,4,47.298439025878906,4.29,responsive
